star2_name,star2_id
Alexandra Maria Lara,146
Takuya Kimura,147
Ed Harris,148
Sunil Shetty,149
Dexter Fletcher,150
Russell Crowe,151
Ugur Yücel,152
Sharon Stone,153
Salman Khan,154
Gene Hackman,155
Sean Connery,156
Bora Todorovic,157
Noriko Hidaka,158
Alan Rickman,159
Akira Terao,160
Cathy Moriarty,161
Aleksandr Kaydanovskiy,162
Liv Ullmann,163
Irene Papas,164
Dharmendra,165
Graham Chapman,166
James Garner,167
John Megna,168
Eijirô Tôno,169
Burt Lancaster,170
Tony Curtis,171
Bibi Andersson,172
Gunnar Björnstrand,173
Carl Möhner,174
Chieko Higashiyama,175
Machiko Kyô,176
Anne Baxter,177
Walter Huston,178
Jack Benny,179
Mack Swain,180
Kathryn McGuire,181
Adèle Haenel,182
Saori Hayami,183
Ana Wagener,184
Jung-woo Ha,185
Antoine Olivier Pilon,186
Patrick Stewart,187
Jacob Tremblay,188
María Marull,189
Jamie Foxx,190
Melisa Sözen,191
Anushka Sharma,192
Akshay Kumar,193
F. Murray Abraham,194
Rosamund Pike,195
Takao Osawa,196
Sam Worthington,197
Amy Poehler,198
Priyanka Chopra,199
Michael Kenneth Williams,200
Chris Hemsworth,201
Christian Bale,202
Michael Keaton,203
Brendan Gleeson,204
Parambrata Chattopadhyay,205
Farhan Akhtar,206
Jake Gyllenhaal,207
Charlize Theron,208
Naseeruddin Shah,209
Bee Vang,210
Emma Watson,211
Ryôko Hirosue,212
Joan Allen,213
Philip Seymour Hoffman,214
Jay Baruchel,215
Vince Vaughn,216
Tommy Lee Jones,217
Arshad Warsi,218
Clint Eastwood,219
Sophie Okonedo,220
Won Bin,221
Julie Delpy,222
Kim Sang-kyung,223
Saif Ali Khan,224
David Carradine,225
Albert Brooks,226
Tom Hanks,227
Gael García Bernal,228
Lee Unkrich,229
Megumi Ogata,230
Raghuvir Yadav,231
Haley Joel Osment,232
Pruitt Taylor Vince,233
Srdjan 'Zika' Todorovic,234
Jeff Bridges,235
Maggie Cheung,236
Ewen Bremner,237
William H. Macy,238
Lazar Ristovski,239
Hubert Koundé,240
Kajol,241
Jean-Louis Trintignant,242
Takeshi Kaneshiro,243
Laura Dern,244
Pete Postlethwaite,245
Fengyi Zhang,246
Jingwu Ma,247
Robert Sean Leonard,248
River Phoenix,249
Tom Berenger,250
Nastassja Kinski,251
Mahito Tsujimura,252
Wilford Brimley,253
Christine Hargreaves,254
Claudia Cardinale,255
Pernilla Allwin,256
Rutger Hauer,257
John Hurt,258
John Cleese,259
Christopher Walken,260
Talia Shire,261
William Holden,262
Marisa Berenson,263
Filipp Yankovskiy,264
Faye Dunaway,265
Tatum O'Neal,266
Donatas Banionis,267
François Périer,268
George Kennedy,269
Ivan Lapikov,270
Jean Martin,271
Jacqueline Andere,272
Joan Crawford,273
Tatsuya Nakadai,274
John Wayne,275
Nikolay Burlyaev,276
Birgitta Valberg,277
Fredric March,278
Albert Rémy,279
Jack Hawkins,280
Misa Uehara,281
Minoru Chiaki,282
Karl Malden,283
Charles Vanel,284
Jan Sterling,285
Virginia Mayo,286
Anton Walbrook,287
James Stewart,288
Joan Fontaine,289
Jean Arthur,290
Sam Wood,291
Dita Parlo,292
Claudette Colbert,293
Eugene Silvain,294
Merna Kennedy,295
Janet Gaynor,296
Buster Keaton,297
Conrad Veidt,298
Neena Gupta,299
Julianne Nicholson,300
Nimrat Kaur,301
Harshaali Malhotra,302
Danny Denzongpa,303
Emma Stone,304
Nicole Kidman,305
Jessica Chastain,306
Jared Bush,307
James Caan,308
Owen Wilson,309
Nakul Roshan Sahdev,310
Anupam Kher,311
Frantz Turner,312
Yayan Ruhian,313
Keira Knightley,314
Vin Diesel,315
Ryan Gosling,316
Amy Adams,317
Lucy Boynton,318
Irandhir Santos,319
Geoffrey Rush,320
Viola Davis,321
Morena Baccarin,322
Shahab Hosseini,323
Simon Yam,324
Mete Horozoglu,325
Dev Patel,326
Mila Kunis,327
André Ramiro,328
Chris Evans,329
Chiara Mastroianni,330
Jennifer Garner,331
Thandie Newton,332
Djimon Hounsou,333
Edgar Ramírez,334
Hee Jae,335
Robert Rodriguez,336
Mathieu Amalric,337
Özge Özberk,338
Brad Garrett,339
Eva Green,340
Ivan Dobronravov,341
Yeong-su Oh,342
Belén Rueda,343
Renée Zellweger,344
Shah Rukh Khan,345
Andy Lau,346
Albert Finney,347
Samuel L. Jackson,348
Jun Ji-Hyun,349
Paul Bettany,350
Yilmaz Erdogan,351
Jena Malone,352
Jason Robards,353
Catherine Deneuve,354
Sissy Spacek,355
Rica Matsumoto,356
Henning Moritzen,357
Vinícius de Oliveira,358
Harry Connick Jr.,359
Jan Josef Liefers,360
Dwight Yoakam,361
Brenda Blethyn,362
Madeleine Stowe,363
Iemasa Kayumi,364
Chris Sarandon,365
Andie MacDowell,366
Jesse Borrego,367
Chris O'Donnell,368
Scott Weinger,369
Paige O'Hara,370
Mary McDonnell,371
Ossie Davis,372
